City,Lat,Lng,Max Temp,Humidity,Clouds,Temperature,Wind Speed,Country,Date
Vaini,-21.2,-175.2,78.96,78,20,78.96,10.36,TO,1635224035
Mar del Plata,-38.0023,-57.5575,55.76,80,0,55.76,3.0,AR,1635224036
Butaritari,3.0707,172.7902,82.72,75,9,82.72,8.08,KI,1635223816
Port Elizabeth,-33.918,25.5701,62.89,88,75,62.89,16.11,ZA,1635223823
Albany,42.6001,-73.9662,49.41,91,100,49.41,3.38,US,1635223881
Touros,-5.1989,-35.4608,77.9,71,97,77.9,13.11,BR,1635223889
Geraldton,-28.7667,114.6,66.61,48,40,66.61,14.97,AU,1635224038
Ust-Maya,60.4167,134.5333,34.45,97,100,34.45,4.99,RU,1635224038
Ginir,7.1333,40.7,64.54,62,28,64.54,1.97,ET,1635224000
Shubarkuduk,49.1447,56.4872,40.3,65,80,40.3,11.05,KZ,1635224039
Gillette,44.2911,-105.5022,51.04,32,91,51.04,19.69,US,1635224039
Vila Franca do Campo,37.7167,-25.4333,68.41,83,18,68.41,8.61,PT,1635224040
Hermanus,-34.4187,19.2345,62.8,81,100,62.8,15.39,ZA,1635223862
Thompson,55.7435,-97.8558,35.76,80,75,35.76,3.44,CA,1635223886
Arlit,18.7369,7.3853,79.45,13,0,79.45,5.99,NE,1635224041
Arraial do Cabo,-22.9661,-42.0278,69.3,91,94,69.3,10.49,BR,1635224041
Apatity,67.5641,33.4031,27.39,95,100,27.39,8.61,RU,1635224042
La Ronge,55.1001,-105.2842,43.05,75,90,43.05,14.97,CA,1635224042
Mataura,-46.1927,168.8643,56.19,99,95,56.19,4.25,NZ,1635223771
Castro,-24.7911,-50.0119,54.7,95,42,54.7,2.51,BR,1635224043
Ascension,30.2169,-90.9001,69.6,96,1,69.6,0.0,US,1635224044
Atuona,-9.8,-139.0333,77.99,71,11,77.99,15.01,PF,1635224015
Malanville,11.8685,3.3899,73.65,44,73,73.65,3.8,BJ,1635224045
Phalaborwa,-23.943,31.1411,62.4,84,100,62.4,5.21,ZA,1635224045
Hithadhoo,-0.6,73.0833,83.19,68,100,83.19,16.73,MV,1635223838
Tasiilaq,65.6145,-37.6368,30.9,84,100,30.9,3.27,GL,1635224046
Uzhur,55.3036,89.8339,45.75,60,100,45.75,8.93,RU,1635224046
Mossamedes,-15.1961,12.1522,64.26,70,64,64.26,7.92,AO,1635224047
Esperance,-33.8667,121.9,58.84,61,81,58.84,7.09,AU,1635224047
Airai,-8.9266,125.4092,80.82,35,84,80.82,2.91,TL,1635224048
Hailar,49.2,119.7,44.83,43,2,44.83,14.94,CN,1635224048
Padang,-0.9492,100.3543,86.05,76,73,86.05,4.76,ID,1635224049
Jamestown,42.097,-79.2353,52.93,98,90,52.93,1.99,US,1635224049
